epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6895,1.1277,3.1371,1.33355,0.41945,0.44508,0.38529,0.25334,1.19835,2.21582,1.36803,0.000301493,0.000301493,0.000301493
2,109.202,1.26846,2.54429,1.42821,0.40514,0.39418,0.35381,0.21401,1.3957,2.23959,1.55263,0.000594518,0.000594518,0.000594518
3,143.15,1.30582,2.49202,1.47074,0.40957,0.34543,0.30407,0.17981,1.46451,2.33903,1.62244,0.000877545,0.000877545,0.000877545
4,176.78,1.31254,2.32639,1.48239,0.41548,0.40444,0.3673,0.22821,1.42951,2.33086,1.6185,0.000864004,0.000864004,0.000864004
5,208.645,1.28752,2.17762,1.45966,0.49363,0.43477,0.43011,0.27613,1.30471,2.09488,1.48383,0.000849006,0.000849006,0.000849006
6,240.672,1.2585,2.06325,1.43606,0.53772,0.46458,0.4612,0.29509,1.35115,1.97253,1.51678,0.000834007,0.000834007,0.000834007
7,272.549,1.21638,1.96452,1.41457,0.50179,0.47318,0.44665,0.27518,1.34469,2.03374,1.501,0.000819009,0.000819009,0.000819009
8,304.737,1.20972,1.90952,1.39359,0.55194,0.4726,0.4808,0.314,1.32669,1.97117,1.47303,0.00080401,0.00080401,0.00080401
9,339.366,1.18927,1.82809,1.38943,0.54156,0.4838,0.48108,0.30568,1.29481,1.90468,1.49098,0.000789012,0.000789012,0.000789012
10,375.013,1.14721,1.76703,1.36028,0.55261,0.51881,0.5191,0.3468,1.22269,1.7868,1.4093,0.000774013,0.000774013,0.000774013
11,410.183,1.13176,1.71669,1.34602,0.5766,0.53032,0.523,0.36263,1.21485,1.6888,1.39612,0.000759015,0.000759015,0.000759015
12,445.71,1.1347,1.67555,1.34146,0.61197,0.5312,0.54537,0.37435,1.24263,1.70035,1.39245,0.000744016,0.000744016,0.000744016
13,482.122,1.09224,1.59538,1.30991,0.6098,0.50675,0.53664,0.3618,1.19837,1.80435,1.37292,0.000729018,0.000729018,0.000729018
14,517.165,1.1258,1.59783,1.32515,0.56545,0.55142,0.57566,0.39491,1.18906,1.57542,1.36569,0.000714019,0.000714019,0.000714019
15,549.269,1.10155,1.5746,1.31093,0.58141,0.52683,0.53792,0.36565,1.21444,1.71036,1.37259,0.000699021,0.000699021,0.000699021
16,581.404,1.07681,1.52095,1.30447,0.60162,0.54061,0.56246,0.38613,1.20867,1.74209,1.4051,0.000684022,0.000684022,0.000684022
17,613.623,1.0718,1.50241,1.30008,0.61757,0.55631,0.57816,0.39065,1.2056,1.65569,1.36935,0.000669024,0.000669024,0.000669024
18,646.151,1.06991,1.46094,1.28161,0.66716,0.5646,0.60494,0.41008,1.17242,1.56061,1.34567,0.000654025,0.000654025,0.000654025
19,677.203,1.04471,1.45525,1.28241,0.65937,0.54734,0.59861,0.41925,1.1564,1.6251,1.36621,0.000639027,0.000639027,0.000639027
20,708.153,1.03131,1.41647,1.26728,0.61021,0.55555,0.59012,0.41184,1.17366,1.59353,1.34264,0.000624028,0.000624028,0.000624028
21,739.031,1.04294,1.39549,1.2666,0.60332,0.56978,0.59797,0.41597,1.14846,1.51679,1.31848,0.00060903,0.00060903,0.00060903
22,770.079,1.01474,1.37785,1.24965,0.64256,0.54839,0.60076,0.41784,1.12337,1.63252,1.31555,0.000594031,0.000594031,0.000594031
23,802.157,1.01637,1.36068,1.24666,0.64068,0.59754,0.62502,0.43218,1.14803,1.62438,1.31838,0.000579033,0.000579033,0.000579033
